"V1","V2","V3","V4","V5","V6"
3,4,0,-27.965,0.52,0.126
3,5,-0.019,-28.002,0.623,0.197
3,6,0.018,-27.893,0.245,0.731
3,7,0.045,-27.817,0.571,0.398
3,8,0.069,-27.766,0.155,0.782
3,9,0.089,-27.731,0.754,0.661
3,10,0.109,-27.706,0.731,0.745
3,11,0.127,-27.686,0.769,0.58
3,12,0.145,-27.67,0.782,0.801
3,13,0.163,-27.657,0.711,0.343
3,14,0.182,-27.643,0.973,0.156
3,15,0.2,-27.63,0.382,0.921
3,16,0.219,-27.614,0.356,0.981
3,17,0.238,-27.597,0.516,0.586
3,18,0.258,-27.578,0.219,0.837
3,19,0.279,-27.556,0.965,0.511
3,20,0.301,-27.53,0.504,0.073
3,21,0.324,-27.501,0.843,0.957
3,22,0.347,-27.467,0.795,0.733
3,23,0.372,-27.428,0.047,0.624
3,24,0.398,-27.385,0.874,0.097
3,25,0.425,-27.336,0.489,0.352
3,26,0.453,-27.282,0.765,0.088
3,27,0.483,-27.221,0.781,0.218
3,28,0.514,-27.152,0.314,0.356
3,29,0.546,-27.074,0.88,0.764
3,30,0.578,-26.987,0.234,0.325
3,31,0.611,-26.889,0.45,0.524
3,32,0.643,-26.779,0.582,0.145
3,33,0.676,-26.655,0.297,0.611
3,34,0.707,-26.518,0.767,0.98
3,35,0.738,-26.367,0.176,0.406
3,36,0.766,-26.203,0.208,0.267
3,37,0.792,-26.024,0.446,0.772
3,38,0.814,-25.83,0.734,0.667
3,39,0.833,-25.617,0.698,0.456
3,40,0.847,-25.381,0.901,0.85
3,41,0.857,-25.119,0.644,0.444
3,42,0.863,-24.821,0.4,0.667
3,43,0.865,-24.48,0.258,0.062
3,44,0.866,-24.086,0.476,0.626
3,45,0.865,-23.628,0.649,0.273
3,46,0.863,-23.096,0.484,0.137
3,47,0.861,-22.475,0.295,0.35
3,48,0.86,-21.75,0.382,0.452
3,49,0.862,-20.91,0.93,0.791
3,50,0.875,-19.965,0.973,0.593
3,51,0.926,-19.044,0.166,0.012
3,52,1.149,-18.445,0.761,0.535
3,53,2.642,-18.272,0.746,0.32
4,4,0,-25.489,0.607,0.292
4,5,-0.053,-25.687,0.192,0.705
4,6,0.035,-25.643,0.127,0.09
4,7,0.104,-25.606,0.052,0.745
4,8,0.161,-25.584,0.615,0.519
4,9,0.21,-25.572,0.014,0.122
4,10,0.256,-25.567,0.548,0.499
4,11,0.299,-25.565,0.301,0.092
4,12,0.341,-25.564,0.389,0.411
4,13,0.381,-25.563,0.569,0.328
4,14,0.422,-25.559,0.998,0.585
4,15,0.464,-25.552,0.286,0.08
4,16,0.506,-25.541,0.017,0.641
4,17,0.549,-25.524,0.543,0.951
4,18,0.593,-25.502,0.93,0.63
4,19,0.639,-25.473,0.503,0.601
4,20,0.686,-25.437,0.607,0.299
4,21,0.736,-25.393,0.901,0.22
4,22,0.788,-25.341,0.889,0.682
4,23,0.843,-25.28,0.782,0.742
4,24,0.901,-25.209,0.812,0.71
4,25,0.961,-25.129,0.184,0.398
4,26,1.024,-25.037,0.559,0.771
4,27,1.091,-24.934,0.275,0.4
4,28,1.159,-24.819,0.757,0.32
4,29,1.23,-24.691,0.076,0.029
4,30,1.302,-24.549,0.62,0.807
4,31,1.375,-24.391,0.151,0.634
4,32,1.448,-24.217,0.573,0.361
4,33,1.519,-24.027,0.365,0.114
4,34,1.588,-23.822,0.275,0.29
4,35,1.652,-23.603,0.062,0.987
4,36,1.71,-23.373,0.165,0.298
4,37,1.761,-23.133,0.869,0.557
4,38,1.802,-22.886,0.837,0.289
4,39,1.833,-22.633,0.373,0.481
4,40,1.851,-22.373,0.918,0.295
4,41,1.859,-22.104,0.135,0.145
4,42,1.857,-21.825,0.967,0.122
4,43,1.848,-21.533,0.062,0.635
4,44,1.834,-21.228,0.95,0.433
4,45,1.817,-20.912,0.364,0.129
4,46,1.8,-20.594,0.619,0.287
4,47,1.784,-20.289,0.08,0.651
4,48,1.77,-20.028,0.854,0.9
4,49,1.759,-19.864,0.086,0.495
4,50,1.754,-19.9,0.735,0.781
4,51,1.807,-20.176,0.355,0.035
4,52,2.074,-20.335,0.299,0.981
4,53,2.245,-20.302,0.625,0.23
5,4,0,-24.583,0.635,0.784
5,5,-0.079,-24.771,0.514,0.576
5,6,0.03,-24.737,0.282,0.61
5,7,0.119,-24.696,0.672,0.103
5,8,0.193,-24.665,0.36,0.034
5,9,0.257,-24.641,0.357,0.252
5,10,0.314,-24.622,0.784,0.397
5,11,0.367,-24.607,0.675,0.073
5,12,0.418,-24.592,0.871,0.959
5,13,0.467,-24.576,0.46,0.893
5,14,0.515,-24.557,0.071,0.8
5,15,0.564,-24.536,0.625,0.905
5,16,0.613,-24.51,0.19,0.73
5,17,0.663,-24.479,0.712,0.294
5,18,0.715,-24.442,0.556,0.343
5,19,0.768,-24.398,0.956,0.415
5,20,0.824,-24.347,0.322,0.768
5,21,0.882,-24.286,0.391,0.772
5,22,0.942,-24.216,0.966,0.827
5,23,1.006,-24.137,0.556,0.538
5,24,1.073,-24.046,0.688,0.993
5,25,1.144,-23.944,0.801,0.902
5,26,1.219,-23.83,0.995,0.476
5,27,1.297,-23.702,0.79,0.233
5,28,1.378,-23.561,0.609,0.238
5,29,1.462,-23.406,0.06,0.849
5,30,1.546,-23.234,0.088,0.601
5,31,1.631,-23.046,0.649,0.581
5,32,1.713,-22.839,0.213,0.434
5,33,1.792,-22.614,0.185,0.832
5,34,1.866,-22.373,0.293,0.191
5,35,1.931,-22.118,0.644,0.965
5,36,1.987,-21.854,0.096,0.232
5,37,2.03,-21.584,0.833,0.967
5,38,2.058,-21.314,0.179,0.292
5,39,2.069,-21.049,0.106,0.831
5,40,2.064,-20.791,0.097,0.155
5,41,2.045,-20.543,0.845,0.353
5,42,2.013,-20.305,0.918,0.459
5,43,1.974,-20.076,0.791,0.579
5,44,1.931,-19.861,0.026,0.864
5,45,1.888,-19.664,0.065,0.696
5,46,1.848,-19.499,0.364,0.364
5,47,1.808,-19.385,0.614,0.83
5,48,1.774,-19.337,0.601,0.971
5,49,1.742,-19.357,0.686,0.215
5,50,1.709,-19.448,0.708,0.187
5,51,1.71,-19.612,0.119,0.697
5,52,1.783,-19.683,0.803,0.364
5,53,1.807,-19.656,0.504,0.84
6,4,0,-23.674,0.704,0.234
6,5,-0.093,-23.832,0.178,0.837
6,6,0.024,-23.807,0.729,0.006
6,7,0.126,-23.771,0.084,0.161
6,8,0.211,-23.74,0.177,0.127
6,9,0.285,-23.713,0.572,0.328
6,10,0.35,-23.689,0.061,0.118
6,11,0.411,-23.666,0.942,0.796
6,12,0.469,-23.644,0.018,0.397
6,13,0.524,-23.621,0.005,0.011
6,14,0.578,-23.596,0.526,0.626
6,15,0.633,-23.568,0.543,0.353
6,16,0.688,-23.535,0.633,0.909
6,17,0.745,-23.498,0.369,0.451
6,18,0.804,-23.454,0.733,0.538
6,19,0.865,-23.404,0.024,0.398
6,20,0.929,-23.346,0.123,0.692
6,21,0.996,-23.278,0.908,0.231
6,22,1.067,-23.201,0.448,0.916
6,23,1.142,-23.112,0.484,0.174
6,24,1.221,-23.011,0.574,0.442
6,25,1.304,-22.897,0.755,0.066
6,26,1.392,-22.769,0.105,0.132
6,27,1.483,-22.626,0.939,0.931
6,28,1.576,-22.467,0.175,0.448
6,29,1.67,-22.292,0.423,0.693
6,30,1.762,-22.1,0.109,0.642
6,31,1.849,-21.89,0.767,0.54
6,32,1.931,-21.661,0.201,0.583
6,33,2.005,-21.414,0.432,0.84
6,34,2.068,-21.151,0.114,0.597
6,35,2.12,-20.877,0.612,0.433
6,36,2.157,-20.599,0.4,0.497
6,37,2.177,-20.326,0.636,0.506
6,38,2.179,-20.065,0.276,0.887
6,39,2.16,-19.826,0.584,0.41
6,40,2.122,-19.613,0.115,0.408
6,41,2.069,-19.432,0.173,0.807
6,42,2.006,-19.289,0.002,0.503
6,43,1.941,-19.188,0.192,0.782
6,44,1.879,-19.124,0.746,0.481
6,45,1.823,-19.085,0.685,0.866
6,46,1.774,-19.067,0.953,0.919
6,47,1.728,-19.071,0.524,0.441
6,48,1.689,-19.104,0.101,0.645
6,49,1.656,-19.173,0.902,0.877
6,50,1.635,-19.284,0.532,0.902
6,51,1.642,-19.44,0.29,0.016
6,52,1.702,-19.542,0.351,0.794
6,53,1.761,-19.554,0.211,0.971
7,4,0,-22.87,0.787,0.267
7,5,-0.087,-22.991,0.713,0.224
7,6,0.035,-22.972,0.967,0.278
7,7,0.143,-22.942,0.873,0.786
7,8,0.235,-22.912,0.9,0.154
7,9,0.316,-22.884,0.39,0.694
7,10,0.388,-22.857,0.287,0.478
7,11,0.455,-22.83,0.809,0.755
7,12,0.518,-22.803,0.978,0.9
7,13,0.578,-22.774,0.14,0.003
7,14,0.639,-22.742,0.093,0.591
7,15,0.699,-22.708,0.121,0.05
7,16,0.761,-22.669,0.284,0.445
7,17,0.826,-22.626,0.639,0.939
7,18,0.893,-22.577,0.509,0.255
7,19,0.964,-22.52,0.807,0.775
7,20,1.039,-22.456,0.923,0.106
7,21,1.119,-22.381,0.533,0.869
7,22,1.204,-22.295,0.106,0.506
7,23,1.295,-22.195,0.328,0.572
7,24,1.391,-22.081,0.163,0.684
7,25,1.492,-21.951,0.143,0.782
7,26,1.597,-21.804,0.497,0.231
7,27,1.704,-21.641,0.346,0.752
7,28,1.811,-21.461,0.891,0.053
7,29,1.913,-21.264,0.651,0.216
7,30,2.006,-21.052,0.548,0.48
7,31,2.089,-20.825,0.771,0.898
7,32,2.156,-20.584,0.644,0.27
7,33,2.208,-20.331,0.079,0.852
7,34,2.243,-20.072,0.082,0.714
7,35,2.261,-19.812,0.692,1
7,36,2.259,-19.564,0.041,0.801
7,37,2.238,-19.342,0.438,0.556
7,38,2.194,-19.161,0.188,0.765
7,39,2.136,-19.035,0.227,0.085
7,40,2.067,-18.965,0.17,0.611
7,41,1.992,-18.933,0.273,0.416
7,42,1.916,-18.925,0.26,0.466
7,43,1.847,-18.933,0.368,0.072
7,44,1.787,-18.95,0.782,0.104
7,45,1.736,-18.973,0.352,0.693
7,46,1.694,-19.004,0.868,0.474
7,47,1.657,-19.046,0.255,0.547
