"V1","V2","V3","V4","V5","V6"
3,4,0,-24.617,0.26,0.117
3,5,-0.2,-24.622,0.491,0.423
3,6,-0.166,-24.44,0.681,0.346
3,7,-0.144,-24.303,0.168,0.054
3,8,-0.128,-24.195,0.413,0.474
3,9,-0.115,-24.106,0.602,0.221
3,10,-0.104,-24.03,0.437,0.237
3,11,-0.094,-23.963,0.208,0.651
3,12,-0.085,-23.903,0.475,0.823
3,13,-0.076,-23.847,0.382,0.998
3,14,-0.068,-23.794,0.491,0.834
3,15,-0.059,-23.742,0.376,0.973
3,16,-0.05,-23.69,0.332,0.1
3,17,-0.041,-23.639,0.142,0.077
3,18,-0.031,-23.587,0.489,0.897
3,19,-0.021,-23.534,0.347,0.542
3,20,-0.01,-23.481,0.918,0.037
3,21,0.001,-23.428,0.868,0.602
3,22,0.013,-23.376,0.328,0.675
3,23,0.026,-23.324,0.915,0.879
3,24,0.04,-23.273,0.464,0.682
3,25,0.055,-23.223,0.309,0.742
3,26,0.071,-23.176,0.177,0.747
3,27,0.088,-23.13,0.703,0.363
3,28,0.106,-23.086,0.75,0.802
3,29,0.126,-23.044,0.467,0.627
3,30,0.149,-23.006,0.5,0.673
3,31,0.173,-22.971,0.908,0.74
3,32,0.199,-22.94,0.361,0.498
3,33,0.229,-22.911,0.42,0.934
3,34,0.262,-22.887,0.163,0.184
3,35,0.299,-22.866,0.379,0.84
3,36,0.341,-22.849,0.278,0.389
3,37,0.39,-22.834,0.334,0.731
3,38,0.445,-22.82,0.985,0.751
3,39,0.51,-22.806,0.938,0.347
3,40,0.586,-22.788,0.757,0.222
3,41,0.675,-22.763,0.177,0.952
3,42,0.782,-22.723,0.97,0.938
3,43,0.911,-22.659,0.539,0.222
3,44,1.066,-22.556,0.202,0.372
3,45,1.253,-22.397,0.312,0.837
3,46,1.478,-22.154,0.259,0.202
3,47,1.749,-21.792,0.21,0.394
3,48,2.071,-21.277,0.33,0.452
3,49,2.448,-20.601,0.388,0.631
3,50,2.874,-19.821,0.785,0.942
3,51,3.367,-19.015,0.375,0.491
3,52,4.377,-19.662,0.528,0.186
3,53,10.802,-20.71,0.96,0.822
4,4,0,-24.151,0.634,0.928
4,5,-0.457,-24.259,0.267,0.71
4,6,-0.374,-24.131,0.401,0.207
4,7,-0.317,-24.014,0.798,0.993
4,8,-0.274,-23.92,0.35,0.518
4,9,-0.239,-23.842,0.39,0.07
4,10,-0.21,-23.776,0.472,0.814
4,11,-0.185,-23.719,0.731,0.971
4,12,-0.162,-23.669,0.845,0.752
4,13,-0.141,-23.624,0.628,0.511
4,14,-0.121,-23.582,0.993,0.483
4,15,-0.1,-23.542,0.081,0.396
4,16,-0.08,-23.504,0.499,0.138
4,17,-0.059,-23.468,0.695,0.565
4,18,-0.037,-23.433,0.616,0.892
4,19,-0.014,-23.398,0.515,0.826
