"V1","V2","V3","V4","V5","V6"
3,4,0,-17.497,0.514,0.146
3,5,-0.215,-17.354,0.714,0.619
3,6,-0.179,-17.122,0.333,0.683
3,7,-0.156,-16.944,0.059,0.116
3,8,-0.139,-16.797,0.912,0.459
3,9,-0.126,-16.672,0.221,0.093
3,10,-0.115,-16.562,0.392,0.084
3,11,-0.106,-16.463,0.544,0.904
3,12,-0.097,-16.371,0.54,0.143
3,13,-0.089,-16.284,0.317,0.864
3,14,-0.081,-16.202,0.019,0.159
3,15,-0.073,-16.123,0.872,0.561
3,16,-0.066,-16.047,0.294,0.289
3,17,-0.058,-15.973,0.796,0.453
3,18,-0.049,-15.901,0.73,0.04
3,19,-0.04,-15.831,0.345,0.455
3,20,-0.031,-15.763,0.939,0.121
3,21,-0.022,-15.697,0.159,0.073
3,22,-0.011,-15.634,0.915,0.151
3,23,-0.001,-15.575,0.614,0.986
3,24,0.011,-15.519,0.869,0.202
3,25,0.023,-15.467,0.826,0.771
3,26,0.036,-15.419,0.368,0.064
3,27,0.05,-15.374,0.379,0.469
3,28,0.065,-15.335,0.158,0.957
3,29,0.082,-15.302,0.796,0.779
3,30,0.101,-15.274,0.97,0.256
3,31,0.121,-15.254,0.698,0.824
3,32,0.145,-15.242,0.033,0.715
3,33,0.171,-15.24,0.327,0.56
3,34,0.2,-15.248,0.243,0.907
3,35,0.234,-15.268,0.144,0.392
3,36,0.272,-15.3,0.054,0.828
3,37,0.316,-15.345,0.225,0.614
3,38,0.367,-15.405,0.477,0.406
3,39,0.427,-15.479,0.276,0.902
3,40,0.497,-15.567,0.05,0.451
3,41,0.58,-15.669,0.088,0.554
3,42,0.68,-15.78,0.532,0.953
3,43,0.799,-15.895,0.894,0.136
3,44,0.942,-16.005,0.426,0.525
3,45,1.116,-16.092,0.391,0.624
3,46,1.326,-16.13,0.79,0.102
3,47,1.582,-16.085,0.592,0.028
3,48,1.893,-15.912,0.477,0.612
3,49,2.269,-15.563,0.391,0.374
3,50,2.712,-15.004,0.332,0.567
3,51,3.242,-14.127,0.884,0.92
3,52,4.318,-14.523,0.848,0.171
3,53,11.018,-15.46,0.641,0.396
4,4,0,-18.026,0.302,0.364
4,5,-0.499,-18.047,0.006,0.583
