"V1","V2","V3","V4","V5","V6"
3,4,0,-35.564,0.314,0.488
3,5,-0.179,-35.778,0.284,0.63
3,6,-0.147,-35.665,0.858,0.528
3,7,-0.125,-35.579,0.794,0.915
3,8,-0.108,-35.519,0.715,0.951
3,9,-0.094,-35.477,0.778,0.183
3,10,-0.082,-35.448,0.857,0.811
3,11,-0.07,-35.427,0.501,0.834
3,12,-0.058,-35.413,0.495,0.088
3,13,-0.047,-35.402,0.932,0.786
3,14,-0.036,-35.395,0.806,0.396
3,15,-0.024,-35.388,0.659,0.42
3,16,-0.013,-35.382,0.999,0.642
3,17,-0.001,-35.375,0.227,0.551
3,18,0.012,-35.366,0.232,0.936
3,19,0.025,-35.358,0.583,0.017
3,20,0.038,-35.349,0.445,0.926
3,21,0.052,-35.339,0.966,0.606
3,22,0.067,-35.327,0.841,0.603
3,23,0.082,-35.313,0.909,0.491
3,24,0.098,-35.297,0.042,0.996
3,25,0.115,-35.277,0.005,0.352
3,26,0.133,-35.254,0.567,0.337
3,27,0.152,-35.227,0.834,0.201
3,28,0.173,-35.197,0.703,0.582
3,29,0.195,-35.162,0.059,0.461
3,30,0.219,-35.122,0.362,0.373
3,31,0.246,-35.077,0.715,0.186
3,32,0.274,-35.026,0.48,0.787
3,33,0.306,-34.967,0.944,0.656
3,34,0.341,-34.9,0.344,0.796
3,35,0.38,-34.821,0.98,0.65
3,36,0.423,-34.73,0.959,0.317
3,37,0.472,-34.623,0.903,0.245
3,38,0.528,-34.497,0.175,0.89
3,39,0.591,-34.346,0.448,0.945
3,40,0.664,-34.166,0.053,0.917
3,41,0.747,-33.95,0.372,0.966
3,42,0.844,-33.687,0.609,0.16
3,43,0.955,-33.365,0.108,0.275
3,44,1.083,-32.972,0.603,0.979
3,45,1.229,-32.489,0.739,0.267
3,46,1.395,-31.901,0.033,0.275
3,47,1.577,-31.198,0.08,0.649
3,48,1.77,-30.384,0.052,0.825
3,49,1.962,-29.51,0.594,0.337
3,50,2.126,-28.707,0.995,0.41
3,51,2.272,-28.284,0.057,0.955
3,52,2.657,-28.955,0.125,0.482
3,53,6.007,-29.689,0.513,0.504
4,4,0,-34.048,0.547,0.918
4,5,-0.399,-34.325,0.422,0.102
4,6,-0.319,-34.245,0.131,0.707
4,7,-0.262,-34.164,0.429,0.806
4,8,-0.218,-34.105,0.712,0.186
4,9,-0.181,-34.062,0.55,0.597
4,10,-0.149,-34.032,0.981,0.09
4,11,-0.119,-34.011,0.133,0.861
4,12,-0.09,-33.998,0.314,0.711
4,13,-0.063,-33.99,0.939,0.509
4,14,-0.035,-33.988,0.953,0.591
4,15,-0.008,-33.988,0.828,0.496
4,16,0.02,-33.992,0.04,0.71
4,17,0.049,-33.998,0.125,0.308
4,18,0.078,-34.005,0.853,0.895
4,19,0.107,-34.012,0.509,0.618
4,20,0.138,-34.019,0.646,0.533
4,21,0.17,-34.023,0.819,0.041
4,22,0.203,-34.026,0.706,0.328
4,23,0.238,-34.026,0.672,0.676
4,24,0.274,-34.023,0.461,0.187
4,25,0.313,-34.015,0.263,0.767
4,26,0.354,-34.004,0.627,0.353
4,27,0.399,-33.988,0.516,0.708
4,28,0.446,-33.968,0.65,0.377
4,29,0.498,-33.943,0.1,0.298
