"V1","V2","V3","V4","V5","V6"
3,4,0,-19.928,0.538,0.26
3,5,-0.017,-19.673,0.538,0.002
3,6,0.021,-19.542,0.219,0.108
3,7,0.048,-19.46,0.069,0.72
3,8,0.07,-19.406,0.904,0.249
3,9,0.089,-19.37,0.9,0.628
3,10,0.106,-19.345,0.193,0.444
3,11,0.122,-19.328,0.792,0.377
3,12,0.138,-19.316,0.197,0.764
3,13,0.154,-19.307,0.666,0.962
3,14,0.17,-19.299,0.311,0.093
3,15,0.186,-19.289,0.776,0.456
3,16,0.203,-19.278,0.682,0.337
3,17,0.22,-19.265,0.028,0.62
3,18,0.237,-19.247,0.139,0.763
3,19,0.255,-19.225,0.067,0.119
3,20,0.274,-19.198,0.164,0.997
3,21,0.293,-19.166,0.914,0.247
3,22,0.312,-19.128,0.551,0.156
3,23,0.332,-19.084,0.248,0.94
3,24,0.351,-19.036,0.911,0.703
3,25,0.371,-18.984,0.991,0.607
3,26,0.39,-18.93,0.522,0.253
3,27,0.409,-18.877,0.758,0.46
3,28,0.426,-18.824,0.857,0.094
3,29,0.442,-18.775,0.263,0.277
3,30,0.456,-18.728,0.383,0.546
3,31,0.467,-18.683,0.108,0.612
3,32,0.475,-18.637,0.71,0.234
3,33,0.48,-18.585,0.287,0.456
3,34,0.482,-18.523,0.042,0.21
3,35,0.483,-18.447,0.343,0.368
3,36,0.482,-18.354,0.518,0.482
3,37,0.481,-18.243,0.171,0.123
3,38,0.479,-18.111,0.659,0.708
3,39,0.478,-17.959,0.262,0.336
3,40,0.476,-17.785,0.329,0.251
3,41,0.475,-17.588,0.36,0.178
3,42,0.474,-17.366,0.206,0.938
3,43,0.473,-17.117,0.817,0.462
3,44,0.471,-16.837,0.941,0.481
3,45,0.469,-16.521,0.219,0.808
3,46,0.466,-16.161,0.639,0.713
3,47,0.464,-15.751,0.979,0.265
3,48,0.462,-15.278,0.502,0.522
3,49,0.466,-14.727,0.681,0.53
3,50,0.489,-14.083,0.594,0.044
3,51,0.557,-13.345,0.554,0.02
3,52,0.762,-12.63,0.529,0.577
3,53,1.832,-12.306,0.434,0.919
4,4,0,-18.065,0.18,0.092
4,5,-0.117,-17.962,0.683,0.663
4,6,-0.029,-17.873,0.035,0.692
4,7,0.038,-17.807,0.168,0.239
4,8,0.091,-17.755,0.123,0.678
4,9,0.137,-17.715,0.73,0.025
4,10,0.178,-17.682,0.947,0.819
4,11,0.216,-17.655,0.927,0.963
4,12,0.252,-17.63,0.862,0.908
4,13,0.289,-17.605,0.704,0.682
4,14,0.325,-17.579,0.238,0.05
4,15,0.362,-17.55,0.825,0.901
4,16,0.399,-17.517,0.763,0.029
4,17,0.438,-17.479,0.221,0.835
4,18,0.478,-17.435,0.058,0.405
4,19,0.519,-17.383,0.628,0.442
4,20,0.562,-17.323,0.803,0.138
4,21,0.606,-17.254,0.382,0.015
4,22,0.652,-17.176,0.633,0.587
4,23,0.699,-17.089,0.541,0.52
4,24,0.747,-16.994,0.531,0.206
4,25,0.794,-16.893,0.338,0.851
4,26,0.841,-16.787,0.797,0.929
4,27,0.887,-16.68,0.417,0.768
4,28,0.93,-16.575,0.569,0.182
4,29,0.969,-16.475,0.284,0.856
4,30,1.002,-16.381,0.219,0.449
4,31,1.028,-16.293,0.035,0.463
4,32,1.045,-16.208,0.078,0.629
4,33,1.053,-16.123,0.306,0.894
4,34,1.053,-16.032,0.338,0.026
4,35,1.048,-15.931,0.493,0.693
4,36,1.038,-15.817,0.882,0.157
4,37,1.028,-15.689,0.446,0.065
4,38,1.018,-15.547,0.467,0.197
4,39,1.008,-15.394,0.59,0.485
4,40,1,-15.229,0.789,0.091
4,41,0.992,-15.055,0.833,0.598
4,42,0.985,-14.872,0.668,0.711
4,43,0.978,-14.682,0.585,0.971
4,44,0.971,-14.487,0.389,0.055
4,45,0.964,-14.29,0.433,0.128
4,46,0.957,-14.095,0.739,0.77
4,47,0.959,-13.908,0.872,0.906
4,48,0.972,-13.734,0.486,0.903
4,49,1.005,-13.57,0.82,0.67
4,50,1.074,-13.423,0.904,0.759
4,51,1.212,-13.322,0.062,0.888
4,52,1.511,-13.192,0.76,0.125
4,53,1.716,-13.097,0.576,0.985
5,4,0,-17.393,0.301,0.956
5,5,-0.252,-17.318,0.779,0.752
5,6,-0.145,-17.239,0.966,0.054
5,7,-0.06,-17.17,0.652,0.027
5,8,0.009,-17.113,0.998,0.358
5,9,0.067,-17.064,0.804,0.356
5,10,0.117,-17.022,0.333,0.307
5,11,0.163,-16.983,0.804,0.994
5,12,0.206,-16.947,0.458,0.393
5,13,0.247,-16.91,0.943,0.455
5,14,0.288,-16.872,0.828,0.72
5,15,0.329,-16.831,0.335,0.34
5,16,0.37,-16.785,0.144,0.81
5,17,0.413,-16.734,0.202,0.363
5,18,0.457,-16.676,0.038,0.623
5,19,0.503,-16.609,0.371,0.524
