"V1","V2","V3","V4","V5","V6"
3,4,0,-28.217,0.672,0.345
3,5,-0.194,-28.295,0.142,0.707
3,6,-0.161,-28.134,0.737,0.35
3,7,-0.139,-28.013,0.829,0.899
3,8,-0.123,-27.918,0.014,0.305
3,9,-0.11,-27.843,0.14,0.453
3,10,-0.099,-27.779,0.163,0.814
3,11,-0.089,-27.725,0.483,0.008
3,12,-0.079,-27.676,0.465,0.311
3,13,-0.07,-27.633,0.381,0.633
3,14,-0.06,-27.592,0.03,0.171
3,15,-0.051,-27.553,0.933,0.418
3,16,-0.041,-27.514,0.398,0.949
3,17,-0.031,-27.476,0.969,0.427
3,18,-0.02,-27.437,0.579,0.012
3,19,-0.009,-27.398,0.223,0.713
3,20,0.003,-27.359,0.165,0.581
3,21,0.016,-27.32,0.125,0.936
3,22,0.029,-27.283,0.176,0.096
3,23,0.043,-27.246,0.034,0.168
3,24,0.058,-27.211,0.424,0.928
3,25,0.074,-27.177,0.94,0.589
3,26,0.092,-27.145,0.225,0.647
3,27,0.11,-27.114,0.183,0.602
3,28,0.13,-27.085,0.939,0.042
3,29,0.152,-27.058,0.725,0.582
3,30,0.176,-27.032,0.839,0.689
3,31,0.202,-27.008,0.228,0.773
3,32,0.23,-26.986,0.924,0.047
3,33,0.262,-26.966,0.925,0.973
3,34,0.296,-26.946,0.011,0.469
3,35,0.335,-26.926,0.282,0.994
3,36,0.379,-26.905,0.589,0.977
3,37,0.429,-26.881,0.665,0.685
3,38,0.486,-26.852,0.443,0.172
3,39,0.552,-26.815,0.242,0.046
3,40,0.629,-26.763,0.09,0.6
3,41,0.719,-26.692,0.049,0.041
3,42,0.826,-26.591,0.272,0.176
3,43,0.953,-26.449,0.724,0.341
3,44,1.105,-26.251,0.986,0.737
3,45,1.286,-25.974,0.329,0.76
3,46,1.503,-25.589,0.953,0.195
3,47,1.76,-25.063,0.33,0.014
3,48,2.061,-24.372,0.437,0.818
3,49,2.404,-23.533,0.339,0.779
3,50,2.776,-22.648,0.097,0.494
3,51,3.184,-21.93,0.945,0.934
3,52,4.014,-22.677,0.243,0.858
3,53,9.656,-23.709,0.989,0.784
4,4,0,-27.381,0.099,0.468
4,5,-0.441,-27.546,0.942,0.102
4,6,-0.36,-27.431,0.166,0.791
4,7,-0.304,-27.324,0.071,0.236
4,8,-0.261,-27.237,0.49,0.121
4,9,-0.226,-27.168,0.845,0.28
4,10,-0.197,-27.11,0.899,0.364
4,11,-0.17,-27.061,0.603,0.734
4,12,-0.146,-27.019,0.868,0.507
4,13,-0.123,-26.982,0.924,0.802
4,14,-0.101,-26.95,0.32,0.937
4,15,-0.078,-26.92,0.244,0.272
4,16,-0.055,-26.892,0.095,0.655
4,17,-0.032,-26.867,0.93,0.172
4,18,-0.007,-26.843,0.815,0.984
4,19,0.019,-26.821,0.783,0.388
4,20,0.046,-26.8,0.998,0.864
4,21,0.075,-26.779,0.8,0.494
4,22,0.106,-26.76,0.884,0.292
4,23,0.139,-26.742,0.441,0.467
4,24,0.174,-26.725,0.924,0.48
4,25,0.211,-26.709,0.886,0.721
4,26,0.252,-26.695,0.326,0.054
4,27,0.295,-26.683,0.657,0.384
4,28,0.343,-26.673,0.803,0.347
4,29,0.395,-26.665,0.094,0.421
4,30,0.451,-26.661,0.088,0.42
4,31,0.513,-26.659,0.724,0.355
4,32,0.582,-26.66,0.477,0.834
