"V1","V2","V3","V4","V5","V6"
3,4,0,-31.883,0.882,0.226
3,5,-0.186,-32.036,0.49,0.299
3,6,-0.154,-31.897,0.145,0.87
3,7,-0.133,-31.791,0.5,0.769
3,8,-0.117,-31.712,0.48,0.418
3,9,-0.103,-31.65,0.48,0.93
3,10,-0.092,-31.601,0.378,0.172
3,11,-0.081,-31.561,0.788,0.281
3,12,-0.071,-31.526,0.22,0.368
3,13,-0.061,-31.495,0.614,0.752
3,14,-0.051,-31.467,0.555,0.439
3,15,-0.04,-31.44,0.67,0.635
3,16,-0.03,-31.414,0.446,0.961
3,17,-0.019,-31.387,0.513,0.656
3,18,-0.007,-31.359,0.675,0.732
3,19,0.005,-31.331,0.862,0.16
3,20,0.018,-31.303,0.14,0.422
3,21,0.032,-31.276,0.338,0.682
3,22,0.046,-31.25,0.84,0.699
3,23,0.062,-31.223,0.648,0.944
3,24,0.078,-31.198,0.562,0.629
3,25,0.095,-31.174,0.983,0.919
3,26,0.114,-31.15,0.988,0.99
3,27,0.134,-31.128,0.358,0.619
3,28,0.155,-31.106,0.6,0.191
3,29,0.178,-31.085,0.684,0.2
3,30,0.203,-31.064,0.03,0.344
3,31,0.23,-31.043,0.754,0.757
3,32,0.26,-31.021,0.776,0.118
3,33,0.292,-30.999,0.094,0.173
3,34,0.328,-30.975,0.48,0.156
3,35,0.368,-30.946,0.205,0.204
3,36,0.412,-30.911,0.245,0.863
3,37,0.463,-30.868,0.221,0.587
3,38,0.519,-30.812,0.398,0.112
3,39,0.585,-30.738,0.328,0.928
3,40,0.66,-30.641,0.118,0.495
3,41,0.748,-30.512,0.872,0.62
3,42,0.851,-30.342,0.957,0.557
3,43,0.972,-30.118,0.158,0.275
3,44,1.115,-29.823,0.764,0.991
3,45,1.284,-29.435,0.119,0.698
3,46,1.482,-28.928,0.496,0.684
3,47,1.713,-28.28,0.105,0.444
3,48,1.975,-27.482,0.249,0.832
3,49,2.262,-26.573,0.029,0.178
3,50,2.549,-25.693,0.585,0.134
3,51,2.833,-25.161,0.157,0.203
3,52,3.421,-25.989,0.971,0.312
3,53,7.967,-26.94,0.063,0.857
4,4,0,-30.721,0.931,0.74
4,5,-0.421,-30.949,0.838,0.016
4,6,-0.341,-30.851,0.589,0.744
4,7,-0.285,-30.755,0.256,0.242
4,8,-0.242,-30.681,0.91,0.272
4,9,-0.207,-30.622,0.448,0.508
4,10,-0.177,-30.576,0.648,0.584
4,11,-0.15,-30.539,0.084,0.641
4,12,-0.125,-30.508,0.494,0.042
4,13,-0.1,-30.482,0.182,0.991
4,14,-0.076,-30.461,0.843,0.791
4,15,-0.051,-30.442,0.365,0.147
4,16,-0.026,-30.426,0.355,0.059
4,17,0,-30.411,0.053,0.426
4,18,0.027,-30.399,0.784,0.775
4,19,0.055,-30.387,0.246,0.656
4,20,0.085,-30.377,0.65,0.243
4,21,0.117,-30.367,0.65,0.349
4,22,0.151,-30.357,0.032,0.033
4,23,0.187,-30.347,0.564,0.415
4,24,0.225,-30.338,0.902,0.736
4,25,0.265,-30.33,0.065,0.431
4,26,0.309,-30.321,0.356,0.806
4,27,0.356,-30.314,0.625,0.481
4,28,0.407,-30.307,0.449,0.748
4,29,0.462,-30.301,0.162,0.783
4,30,0.522,-30.295,0.74,0.608
4,31,0.587,-30.289,0.235,0.08
4,32,0.658,-30.283,0.474,0.988
4,33,0.736,-30.278,0.015,0.556
4,34,0.822,-30.272,0.8,0.662
4,35,0.918,-30.263,0.188,0.404
4,36,1.025,-30.25,0.067,0.971
4,37,1.145,-30.231,0.142,0.953
4,38,1.282,-30.205,0.816,0.221
4,39,1.438,-30.167,0.48,0.48
4,40,1.617,-30.114,0.408,0.837
4,41,1.824,-30.041,0.55,0.676
4,42,2.066,-29.946,0.376,0.724
4,43,2.349,-29.825,0.498,0.44
4,44,2.68,-29.68,0.904,0.768
4,45,3.068,-29.521,0.917,0.269
4,46,3.515,-29.378,0.121,0.263
4,47,4.017,-29.32,0.459,0.587
4,48,4.55,-29.489,0.203,0.14
4,49,5.054,-30.13,0.749,0.564
4,50,5.46,-31.481,0.52,0.874
4,51,5.81,-33.59,0.457,0.178
4,52,6.488,-35.794,0.566,0.935
4,53,6.826,-36.765,0.147,0.223
5,4,0,-30.669,0.258,0.98
5,5,-0.491,-30.929,0.229,0.119
5,6,-0.387,-30.869,0.409,0.834
5,7,-0.309,-30.795,0.686,0.33
5,8,-0.247,-30.734,0.607,0.162
5,9,-0.196,-30.685,0.022,0.43
5,10,-0.153,-30.645,0.531,0.611
5,11,-0.115,-30.613,0.067,0.91
5,12,-0.08,-30.585,0.894,0.9
5,13,-0.047,-30.562,0.789,0.02
5,14,-0.014,-30.541,0.332,0.947
5,15,0.018,-30.523,0.123,0.783
5,16,0.05,-30.507,0.361,0.222
5,17,0.084,-30.492,0.519,0.873
5,18,0.118,-30.478,0.619,0.225
5,19,0.155,-30.465,0.27,0.574
5,20,0.193,-30.453,0.501,0.476
5,21,0.234,-30.442,0.86,0.305
5,22,0.277,-30.431,0.342,0.098
5,23,0.323,-30.421,0.142,0.717
5,24,0.373,-30.413,0.087,0.649
5,25,0.426,-30.405,0.054,0.489
5,26,0.483,-30.398,0.317,0.689
5,27,0.544,-30.392,0.429,0.094
5,28,0.611,-30.387,0.018,0.096
5,29,0.684,-30.384,0.997,0.917
5,30,0.763,-30.382,0.988,0.013
5,31,0.849,-30.382,0.266,0.908
5,32,0.944,-30.382,0.23,0.298
5,33,1.048,-30.384,0.507,0.707
5,34,1.163,-30.387,0.636,0.842
5,35,1.29,-30.389,0.807,0.455
5,36,1.432,-30.388,0.358,0.846
5,37,1.591,-30.385,0.629,0.163
5,38,1.771,-30.376,0.631,0.845
5,39,1.974,-30.36,0.706,0.336
5,40,2.205,-30.335,0.374,0.915
5,41,2.469,-30.297,0.605,0.669
5,42,2.772,-30.246,0.947,0.254
5,43,3.121,-30.183,0.651,0.077
5,44,3.52,-30.113,0.385,0.323
5,45,3.971,-30.053,0.255,0.459
5,46,4.463,-30.038,0.763,0.948
5,47,4.968,-30.129,0.1,0.928
5,48,5.422,-30.431,0.656,0.221
5,49,5.732,-31.076,0.456,0.415
5,50,5.896,-32.114,0.806,0.339
5,51,5.958,-33.439,0.73,0.687
5,52,6.077,-34.714,0.607,0.175
5,53,5.772,-35.277,0.589,0.172
6,4,0,-30.767,0.645,0.167
6,5,-0.518,-31.055,0.322,0.075
6,6,-0.402,-31.026,0.631,0.551
6,7,-0.31,-30.976,0.571,0.264
6,8,-0.234,-30.933,0.76,0.484
6,9,-0.172,-30.897,0.129,0.119
6,10,-0.118,-30.867,0.391,0.757
6,11,-0.07,-30.842,0.492,0.206
6,12,-0.026,-30.82,0.488,0.709
6,13,0.015,-30.802,0.989,0.558
6,14,0.055,-30.785,0.4,0.847
6,15,0.094,-30.77,0.259,0.121
6,16,0.134,-30.756,0.724,0.412
6,17,0.174,-30.743,0.866,0.406
6,18,0.216,-30.731,0.051,0.145
6,19,0.261,-30.72,0.089,0.975
6,20,0.307,-30.709,0.734,0.858
6,21,0.356,-30.7,0.116,0.801
6,22,0.409,-30.691,0.315,0.363
6,23,0.465,-30.683,0.14,0.133
6,24,0.525,-30.676,0.506,0.519
6,25,0.59,-30.67,0.943,0.029
6,26,0.659,-30.665,0.336,0.992
6,27,0.735,-30.662,0.123,0.524
6,28,0.817,-30.66,0.643,0.715
6,29,0.906,-30.66,0.407,0.559
6,30,1.003,-30.661,0.727,0.436
6,31,1.11,-30.665,0.649,0.854
6,32,1.226,-30.67,0.398,0.323
6,33,1.354,-30.677,0.409,0.606
6,34,1.495,-30.685,0.222,0.284
6,35,1.651,-30.693,0.618,0.373
6,36,1.824,-30.701,0.064,0.405
6,37,2.016,-30.707,0.671,0.047
6,38,2.231,-30.709,0.172,0.27
6,39,2.472,-30.706,0.342,0.778
6,40,2.742,-30.696,0.994,0.086
6,41,3.046,-30.677,0.385,0.409
6,42,3.388,-30.647,0.96,0.989
6,43,3.768,-30.61,0.801,0.94
6,44,4.186,-30.57,0.933,0.08
6,45,4.63,-30.545,0.363,0.51
6,46,5.074,-30.563,0.051,0.262
6,47,5.471,-30.677,0.552,0.941
6,48,5.746,-30.967,0.543,0.566
6,49,5.885,-31.53,0.386,0.436
6,50,5.947,-32.419,0.025,0.142
6,51,5.928,-33.588,0.503,0.762
6,52,5.985,-34.802,0.492,0.757
6,53,5.832,-35.373,0.46,0.208
7,4,0,-30.913,0.087,0.634
7,5,-0.518,-31.225,0.148,0.776
7,6,-0.397,-31.226,0.398,0.826
7,7,-0.297,-31.199,0.409,0.441
7,8,-0.213,-31.175,0.116,0.744
7,9,-0.142,-31.153,0.376,0.491
7,10,-0.081,-31.135,0.958,0.767
7,11,-0.026,-31.119,0.536,0.368
7,12,0.025,-31.105,0.762,0.689
7,13,0.072,-31.092,0.243,0.564
7,14,0.118,-31.08,0.082,0.257
7,15,0.163,-31.069,0.197,0.659
7,16,0.209,-31.058,0.792,0.521
7,17,0.255,-31.049,0.235,0.88
7,18,0.304,-31.039,0.019,0.157
7,19,0.355,-31.031,0.576,0.42
