"V1","V2","V3","V4","V5","V6"
3,4,0,-14.483,0.573,0.834
3,5,-0.219,-14.294,0.817,0.538
3,6,-0.183,-14.049,0.716,0.384
3,7,-0.159,-13.858,0,0.444
3,8,-0.142,-13.702,0.404,0.257
3,9,-0.128,-13.568,0.232,0.372
3,10,-0.117,-13.45,0.619,0.488
3,11,-0.108,-13.344,0.64,0.41
3,12,-0.099,-13.248,0.317,0.448
3,13,-0.091,-13.158,0.81,0.517
3,14,-0.083,-13.073,0.029,0.601
3,15,-0.076,-12.993,0.375,0.433
3,16,-0.069,-12.918,0.099,0.961
3,17,-0.061,-12.846,0.885,0.03
3,18,-0.053,-12.778,0.249,0.947
3,19,-0.045,-12.713,0.574,0.164
3,20,-0.037,-12.653,0.688,0.796
3,21,-0.028,-12.596,0.41,0.894
3,22,-0.019,-12.544,0.049,0.714
3,23,-0.009,-12.497,0.068,0.247
3,24,0.001,-12.456,0.651,0.199
3,25,0.012,-12.421,0.375,0.861
3,26,0.023,-12.391,0.622,0.808
3,27,0.035,-12.365,0.721,0.702
3,28,0.048,-12.344,0.035,0.293
3,29,0.062,-12.327,0.884,0.598
3,30,0.078,-12.317,0.993,0.865
3,31,0.096,-12.314,0.346,0.885
3,32,0.116,-12.318,0.141,0.527
3,33,0.139,-12.331,0.536,0.034
3,34,0.164,-12.354,0.959,0.814
3,35,0.194,-12.389,0.593,0.523
3,36,0.228,-12.436,0.277,0.114
3,37,0.268,-12.497,0.256,0.152
3,38,0.315,-12.575,0.76,0.193
3,39,0.37,-12.669,0.078,0.781
3,40,0.435,-12.781,0.549,0.445
3,41,0.513,-12.911,0.724,0.943
3,42,0.605,-13.056,0.904,0.998
3,43,0.715,-13.213,0.225,0.59
3,44,0.849,-13.372,0.737,0.375
3,45,1.01,-13.521,0.734,0.944
3,46,1.205,-13.633,0.822,0.908
3,47,1.441,-13.673,0.256,0.252
3,48,1.726,-13.595,0.991,0.259
3,49,2.067,-13.336,0,0.504
3,50,2.467,-12.824,0.704,0.604
3,51,2.948,-11.902,0.772,0.189
3,52,3.92,-12.142,0.351,0.064
3,53,10.237,-12.975,0.122,0.818
4,4,0,-15.523,0.814,0.427
4,5,-0.509,-15.531,0.534,0.109
4,6,-0.423,-15.4,0.639,0.073
4,7,-0.364,-15.285,0.054,0.77
4,8,-0.32,-15.191,0.115,0.319
4,9,-0.285,-15.113,0.19,0.893
4,10,-0.257,-15.047,0.901,0.953
4,11,-0.234,-14.991,0.638,0.103
4,12,-0.213,-14.942,0.006,0.276
4,13,-0.194,-14.898,0.068,0.796
4,14,-0.176,-14.859,0.75,0.364
4,15,-0.159,-14.824,0.181,0.884
4,16,-0.142,-14.792,0.742,0.061
4,17,-0.125,-14.762,0.774,0.653
4,18,-0.108,-14.736,0.532,0.893
4,19,-0.09,-14.712,0.752,0
4,20,-0.072,-14.69,0.354,0.563
4,21,-0.052,-14.671,0.316,0.202
4,22,-0.032,-14.654,0.69,0.007
4,23,-0.011,-14.64,0.592,0.378
4,24,0.011,-14.629,0.301,0.417
4,25,0.034,-14.62,0.956,0.436
4,26,0.059,-14.617,0.108,0.156
4,27,0.086,-14.619,0.827,0.373
4,28,0.115,-14.627,0.748,0.651
4,29,0.148,-14.643,0.134,0.818
4,30,0.183,-14.668,0.791,0.777
4,31,0.223,-14.704,0.756,0.845
4,32,0.268,-14.752,0.311,0.462
4,33,0.319,-14.815,0.435,0.54
4,34,0.378,-14.896,0.285,0.056
4,35,0.446,-14.997,0.111,0.903
4,36,0.524,-15.124,0.298,0.059
4,37,0.616,-15.28,0.581,0.308
4,38,0.723,-15.472,0.085,0.476
4,39,0.849,-15.707,0.66,0.333
4,40,0.998,-15.992,0.419,0.28
4,41,1.175,-16.336,0.148,0.339
4,42,1.384,-16.751,0.075,0.512
4,43,1.633,-17.251,0.462,0.854
4,44,1.929,-17.85,0.627,0.593
4,45,2.279,-18.572,0.913,0.575
4,46,2.688,-19.442,0.834,0.478
4,47,3.158,-20.505,0.262,0.713
4,48,3.682,-21.826,0.904,0.545
4,49,4.241,-23.507,0.363,0.987
4,50,4.799,-25.651,0.561,0.651
4,51,5.287,-28.324,0.203,0.832
4,52,6.043,-30.668,0.223,0.477
4,53,6.156,-31.538,0.403,0.979
5,4,0,-15.899,0.419,0.739
5,5,-0.619,-15.956,0.45,0.813
5,6,-0.516,-15.874,0.98,0.633
5,7,-0.438,-15.794,0.539,0.092
5,8,-0.378,-15.726,0.872,0.819
5,9,-0.33,-15.67,0.848,0.378
5,10,-0.292,-15.624,0.622,0.765
5,11,-0.261,-15.586,0.02,0.302
5,12,-0.233,-15.555,0.034,0.844
5,13,-0.209,-15.529,0.397,0.142
5,14,-0.186,-15.507,0.418,0.025
5,15,-0.165,-15.49,0.15,0.024
5,16,-0.145,-15.477,0.455,0.066
5,17,-0.125,-15.467,0.164,0.33
5,18,-0.105,-15.461,0.787,0.23
5,19,-0.084,-15.459,0.938,0.056
5,20,-0.063,-15.46,0.261,0.467
5,21,-0.041,-15.465,0.566,0.77
5,22,-0.018,-15.475,0.368,0.391
