"V1","V2","V3","V4","V5","V6"
3,4,0,-4.351,0.428,0.401
3,5,0.13,-4.606,0.087,0.422
3,6,0.148,-4.564,0.838,0.126
3,7,0.162,-4.48,0.34,0.73
3,8,0.172,-4.408,0.016,0.088
3,9,0.179,-4.352,0.759,0.32
3,10,0.185,-4.31,0.018,0.496
3,11,0.189,-4.279,0.194,0.159
3,12,0.192,-4.255,0.696,0.098
3,13,0.194,-4.237,0.728,0.07
3,14,0.196,-4.224,0.5,0.979
3,15,0.197,-4.214,0.399,0.586
3,16,0.198,-4.205,0.489,0.574
3,17,0.199,-4.199,0.265,0.147
3,18,0.199,-4.194,0.194,0.066
3,19,0.2,-4.189,0.24,0.57
3,20,0.2,-4.184,0.9,0.916
3,21,0.2,-4.181,0.274,0.141
3,22,0.201,-4.178,0.914,0.601
3,23,0.201,-4.174,0.937,0.495
3,24,0.201,-4.171,0.221,0.493
3,25,0.201,-4.169,0.616,0.202
3,26,0.201,-4.166,0.622,0.427
3,27,0.201,-4.164,0.576,0.994
3,28,0.201,-4.161,0.43,0.123
3,29,0.201,-4.158,0.704,0.556
3,30,0.2,-4.156,0.763,0.243
3,31,0.2,-4.152,0.525,0.95
3,32,0.2,-4.149,0.109,0.249
3,33,0.2,-4.145,0.342,0.287
3,34,0.199,-4.14,0.348,0.298
3,35,0.199,-4.134,0.665,0.299
3,36,0.198,-4.125,0.15,0.31
3,37,0.197,-4.115,0.029,0.789
3,38,0.196,-4.101,0.018,0.722
3,39,0.195,-4.085,0.866,0.038
3,40,0.193,-4.064,0.453,0.488
3,41,0.191,-4.037,0.046,0.587
3,42,0.188,-4.005,0.459,0.149
3,43,0.185,-3.965,0.263,0.461
3,44,0.181,-3.915,0.269,0.079
3,45,0.176,-3.854,0.813,0.418
3,46,0.169,-3.776,0.313,0.729
3,47,0.16,-3.676,0.229,0.916
3,48,0.15,-3.545,0.105,0.941
3,49,0.137,-3.375,0.549,0.018
3,50,0.124,-3.154,0.528,0.716
3,51,0.121,-2.868,0.448,0.563
3,52,0.163,-2.659,0.41,0.424
3,53,0.426,-2.609,0.483,0.519
4,4,0,-3.674,0.807,0.686
4,5,0.25,-3.805,0.705,0.682
4,6,0.307,-3.738,0.203,0.038
4,7,0.351,-3.673,0.802,0.1
4,8,0.382,-3.619,0.629,0.859
4,9,0.405,-3.576,0.224,0.675
4,10,0.421,-3.542,0.795,0.241
4,11,0.433,-3.515,0.393,0.795
4,12,0.442,-3.495,0.15,0.173
4,13,0.449,-3.479,0.589,0.224
4,14,0.454,-3.467,0.022,0.53
4,15,0.458,-3.457,0.637,0.819
4,16,0.46,-3.449,0.938,0.268
4,17,0.462,-3.443,0.065,0.469
4,18,0.464,-3.438,0.146,0.709
4,19,0.465,-3.433,0.113,0.169
4,20,0.466,-3.429,0.999,0.95
4,21,0.467,-3.425,0.66,0.338
4,22,0.467,-3.422,0.726,0.065
4,23,0.468,-3.419,0.952,0.54
4,24,0.468,-3.416,0.74,0.169
4,25,0.468,-3.414,0.736,0.298
4,26,0.468,-3.411,0.087,0.128
4,27,0.468,-3.409,0.372,0.581
4,28,0.468,-3.406,0.996,0.612
4,29,0.467,-3.404,0.445,0.949
4,30,0.467,-3.401,0.036,0.261
4,31,0.467,-3.399,0.292,0.533
4,32,0.466,-3.396,0.674,0.508
4,33,0.465,-3.392,0.074,0.056
4,34,0.464,-3.388,0.047,0.264
4,35,0.463,-3.384,0.2,0.629
4,36,0.461,-3.377,0.552,0.91
4,37,0.458,-3.369,0.515,0.383
4,38,0.455,-3.358,0.868,0.905
4,39,0.451,-3.345,0.615,0.795
4,40,0.446,-3.328,0.966,0.84
4,41,0.44,-3.306,0.783,0.167
4,42,0.432,-3.278,0.052,0.039
4,43,0.422,-3.244,0.073,0.321
4,44,0.41,-3.199,0.673,0.046
4,45,0.395,-3.144,0.242,0.239
4,46,0.375,-3.075,0.648,0.076
4,47,0.35,-2.992,0.064,0.572
4,48,0.321,-2.898,0.474,0.895
4,49,0.292,-2.8,0.702,0.05
4,50,0.269,-2.717,0.101,0.455
4,51,0.273,-2.676,0.531,0.541
4,52,0.353,-2.689,0.196,0.798
