"V1","V2","V3","V4","V5","V6"
3,4,0,-31.835,0.417,0.119
3,5,-0.189,-31.94,0.991,0.451
3,6,-0.156,-31.78,0.119,0.27
3,7,-0.134,-31.657,0.627,0.528
3,8,-0.118,-31.558,0.169,0.02
3,9,-0.105,-31.476,0.29,0.244
3,10,-0.093,-31.405,0.131,0.365
3,11,-0.083,-31.34,0.064,0.549
3,12,-0.073,-31.28,0.757,0.629
3,13,-0.064,-31.223,0.946,0.648
3,14,-0.054,-31.166,0.438,0.797
3,15,-0.045,-31.11,0.428,0.97
3,16,-0.035,-31.054,0.481,0.031
3,17,-0.025,-30.996,0.812,0.843
3,18,-0.014,-30.938,0.124,0.295
3,19,-0.004,-30.879,0.19,0.76
3,20,0.008,-30.82,0.859,0.649
3,21,0.02,-30.761,0.149,0.754
3,22,0.033,-30.701,0.385,0.174
3,23,0.046,-30.641,0.768,0.876
3,24,0.06,-30.581,0.687,0.101
3,25,0.075,-30.521,0.185,0.066
3,26,0.091,-30.46,0.392,0.646
3,27,0.107,-30.398,0.713,0.445
3,28,0.125,-30.335,0.287,0.859
3,29,0.144,-30.269,0.111,0.633
3,30,0.164,-30.2,0.265,0.581
3,31,0.186,-30.129,0.599,0.862
3,32,0.21,-30.052,0.962,0.719
3,33,0.236,-29.971,0.513,0.548
3,34,0.264,-29.882,0.053,0.673
3,35,0.296,-29.785,0.966,0.021
3,36,0.331,-29.676,0.287,0.496
3,37,0.37,-29.555,0.636,0.797
3,38,0.414,-29.416,0.72,0.557
3,39,0.465,-29.256,0.523,0.224
3,40,0.522,-29.068,0.258,0.606
3,41,0.588,-28.846,0.963,0.36
3,42,0.664,-28.58,0.735,0.181
3,43,0.75,-28.259,0.47,0.929
3,44,0.847,-27.871,0.455,0.516
3,45,0.956,-27.4,0.248,0.979
3,46,1.076,-26.831,0.466,0.516
3,47,1.203,-26.151,0.756,0.081
3,48,1.331,-25.359,0.642,0.787
3,49,1.448,-24.48,0.987,0.998
